Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM39;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM38;249
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM37;249
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM36;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM35;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM34;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM33;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM32;324
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM31;306
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM30;324
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM29;434
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM28;406
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM27;327
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM26;266
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM25;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM24;350
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM23;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM22;262
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM21;296
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM20;265
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM19;305
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM18;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM17;318
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM16;290
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM15;269
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM14;303
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM13;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM12;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM11;315
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM10;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM09;296
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM08;277
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM07;339
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM06;357
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM05;395
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM04;341
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM03;370
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM02;356
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2022SM01;338
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM52;297
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM51;298
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM50;323
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM49;319
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM48;292
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM47;320
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM46;292
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM45;240
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM44;304
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM43;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM42;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM41;282
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM40;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM39;277
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM38;268
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM37;257
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM36;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM35;256
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM34;256
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM33;314
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM32;309
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM31;285
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM30;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM29;306
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM28;253
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM27;235
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM26;254
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM25;218
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM24;230
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM23;247
